id,churchattend,mostlyrel,white,age,female,polknowl,polinterest,married,inc,education
1,3,0,1,60.5,1,2.39,1.5,1,5.462,3.711
1,4,0,1,60.5,1,2.39,1.5,1,5.462,3.711
